idx1,idx2,EMED,FGTED,Group,(EMED - FGTED),sum Diameter,corrected
35,36,110.66,64.676244,3.0,45.983756,211.18,109.2453504941412
35,37,118.28,61.931535999999994,3.0,56.34846400000001,210.29,106.23488517789549
35,38,122.76,64.415558,3.0,58.344442,222.18,112.26930548144769
35,39,82.69,46.952138000000005,3.0,35.73786199999999,218.84,93.808549036211
36,37,112.73,62.969212,3.0,49.760788000000005,218.07,109.59569816709954
36,38,115.87,60.123596,3.0,55.746404000000005,229.96,110.30048047065172
36,39,105.07,55.818614,3.0,49.251386,226.62,104.99816202541503
37,38,126.42,61.401304,3.0,65.018696,229.07,111.31243115440601
37,39,113.35,54.102205999999995,3.0,59.247794,225.73,103.01599670916931
38,39,112.56,54.374278999999994,3.0,58.18572100000001,237.62,106.83846801272152
20,21,156.15,145.585,2.0,10.564999999999998,74.59,149.3678235435783
20,22,114.39,104.14,2.0,10.25,71.59,107.02701236522196
20,23,104.9,99.986667,2.0,4.913333000000009,76.71,104.40253044295007
20,24,156.0,139.92426,2.0,16.075739999999996,97.95,150.68246658571275
20,25,148.0,125.10281,2.0,22.897189999999995,112.95,140.34007247749435
20,26,125.73,105.06634,2.0,20.663660000000007,116.97,121.5039894564918
20,27,144.07,130.42704,2.0,13.642959999999988,88.47,138.35448326210684
20,28,141.03,112.45923,2.0,28.570769999999996,99.57,123.70117462202516
20,29,135.17,109.43575000000001,2.0,25.734249999999975,121.25,127.15142340428015
21,22,155.42,120.68924999999999,2.0,34.73075,143.02,144.90552652188575
21,23,152.57,119.82454,2.0,32.745459999999994,148.14,145.56966759961387
21,24,90.23,64.947349,2.0,25.282651,169.38,97.03481974237658
21,25,106.6,74.6287,2.0,31.9713,184.38,111.19522663415815
21,26,146.84,97.846659,2.0,48.993341,188.4,135.6135726131556
21,27,123.32,95.482418,2.0,27.837581999999998,159.9,124.73912541877063
21,28,140.13,97.466194,2.0,42.663805999999994,171.0,130.037402778689
21,29,144.38,94.307452,2.0,50.072548,192.68,133.35238956094395
22,23,112.1,86.44535599999999,2.0,25.654644000000005,145.14,111.29467242125757
22,24,151.44,106.80248,2.0,44.637519999999995,166.38,137.99413956402026
22,25,147.62,96.24465000000001,2.0,51.37535,181.38,131.91536545580186
22,26,118.14,75.415715,2.0,42.724284999999995,185.4,112.28681743479929
22,27,144.43,107.20143,2.0,37.228570000000005,156.9,135.56232624041434
22,28,121.25,79.63943599999999,2.0,41.61056400000001,168.0,111.31483360033268
22,29,116.44,73.945851,2.0,42.49414899999999,189.68,112.09497738258763
23,24,146.87,105.0398,2.0,41.830200000000005,171.5,137.7603106417484
23,25,136.69,90.063781,2.0,46.62621899999999,186.5,127.26334753352994
23,26,108.28,72.205976,2.0,36.074023999999994,190.52,110.60592951252742
23,27,130.55,97.35309600000001,2.0,33.196904,162.02,127.24284331814242
23,28,124.05,75.185891,2.0,48.864109,173.12,108.39013967806078
23,29,124.77,76.239074,2.0,48.530925999999994,194.8,115.91705146031573
24,25,96.52,61.124846,2.0,35.395154,207.74,104.66675567629264
24,26,109.67,72.386585,2.0,37.283415000000005,211.76,117.1288816552901
24,27,88.27,61.178778,2.0,27.091221999999995,183.26,97.41086846090512
24,28,117.98,76.43184500000001,2.0,41.548154999999994,194.36,115.97843682082349
24,29,141.55,82.057009,2.0,59.49299100000002,216.04,128.07732960307845
25,26,123.76,70.252758,2.0,53.507242000000005,226.76,119.47411054707167
25,27,101.29,70.48946600000001,2.0,30.800534,198.26,111.20061235268669
25,28,111.49,67.716447,2.0,43.77355299999999,209.36,111.74209471260507
25,29,116.81,65.484453,2.0,51.325547,231.04,115.98382949485999
26,27,109.05,65.108813,2.0,43.941187,202.28,107.02034633168414
26,28,96.59,51.221304,2.0,45.368696,213.38,96.4473386916025
26,29,125.6,61.943435,2.0,63.65656499999999,235.06,113.64319847385745
27,28,106.5,71.690551,2.0,34.809449,184.88,108.40637949721753
27,29,137.91,80.944417,2.0,56.965582999999995,206.56,124.1339742794725
28,29,128.72,63.764727,2.0,64.955273,217.66,110.26878563939086
